text,label,device_type,specialty,supervision_stage,event_time,source_unit
主变压器预防性试验项目未按标准要求全部完成,试验检测缺失,主变压器,一次设备,试验检测,2025-03-05,运检一班
GIS设备交接试验报告缺少局部放电检测结果,试验检测缺失,GIS,一次设备,交接验收,2025-03-06,检修中心
继电保护装置定检后未补做通道校验,试验检测缺失,继电保护,二次设备,定期检验,2025-03-08,继保班
电缆线路耐压试验记录显示关键项目未实施,试验检测缺失,电缆,输电,试验检测,2025-03-09,输电运维室
直流系统蓄电池核容试验超周期仍未开展,试验检测缺失,直流系统,二次设备,运维监督,2025-03-10,变电运维站
避雷器带电测试仅完成部分间隔且无补测计划,试验检测缺失,避雷器,一次设备,试验检测,2025-03-12,试验班
断路器机械特性试验未覆盖全部分合闸工况,试验检测缺失,断路器,一次设备,检修监督,2025-03-13,设备检修部
配电变压器投运前绝缘电阻测试数据缺失,试验检测缺失,配电变压器,配电,投运验收,2025-03-14,配电运检室
现场作业人员未按最新标准执行二次回路拆接线流程,标准执行不到位,二次回路,二次设备,现场作业,2025-03-15,检修中心
变电站红外测温周期执行为季度一次与标准月度要求不符,标准执行不到位,变电站,运维,日常巡检,2025-03-16,运维二班
保护定值单审核流程简化处理未按标准双签执行,标准执行不到位,继电保护,二次设备,技术管理,2025-03-17,继保班
接地网开挖检查时抽检比例低于标准规定值,标准执行不到位,接地网,土建,现场检查,2025-03-18,基建项目部
电能表轮换计划仍沿用旧版标准时限要求,标准执行不到位,电能表,营销,计划管理,2025-03-19,营销运维班
架空线路缺陷分级判定口径未按新标准切换,标准执行不到位,架空线路,输电,缺陷管理,2025-03-20,输电运检室
SF6气体管理台账沿用旧版填报模板与现行标准不一致,标准执行不到位,SF6设备,一次设备,专业管理,2025-03-21,设备管理部
配网开关柜验收时仍按历史经验替代标准条款逐项核验,标准执行不到位,开关柜,配电,验收把关,2025-03-22,配电工程部
缺陷处理闭环记录未填写处理依据和复验结论,记录台账不规范,输电线路,输电,缺陷闭环,2025-03-23,输电运检室
变压器油色谱分析台账存在日期缺失和项目漏填,记录台账不规范,主变压器,一次设备,状态监测,2025-03-24,试验班
保护装置压板投退记录与实际操作时间不一致,记录台账不规范,继电保护,二次设备,运行操作,2025-03-25,继保班
电缆通道隐患排查记录仅保留结论未附检查明细,记录台账不规范,电缆,输电,隐患排查,2025-03-26,输电运维室
设备验收问题清单未编号且整改跟踪栏为空,记录台账不规范,开关柜,配电,交接验收,2025-03-27,配电工程部
接地电阻复测原始记录未签字确认且扫描件模糊,记录台账不规范,接地装置,土建,试验检测,2025-03-28,基建项目部
蓄电池巡检记录长期复制粘贴同一组数据,记录台账不规范,直流系统,二次设备,日常巡检,2025-03-29,变电运维站
避雷器在线监测异常处置单缺少责任人字段,记录台账不规范,避雷器,一次设备,异常处置,2025-03-30,设备管理部
新建站投运验收仅抽查部分回路未覆盖关键风险点,验收把关不严,变电站,基建,投运验收,2025-04-01,基建项目部
电缆中间接头更换后未组织专项复验即办理验收,验收把关不严,电缆,输电,检修验收,2025-04-02,检修中心
保护改造工程验收时未核对图纸与现场一致性,验收把关不严,继电保护,二次设备,工程验收,2025-04-03,继保班
配电自动化终端到货验收只检查外观未核验功能,验收把关不严,配电自动化终端,配电,到货验收,2025-04-04,配电工程部
主变大修后验收会议未对关键试验结果进行集体验证,验收把关不严,主变压器,一次设备,大修验收,2025-04-05,设备检修部
防误闭锁装置改造完成后未进行全站联动验收,验收把关不严,防误闭锁装置,二次设备,改造验收,2025-04-06,运维二班
架空线路迁改工程竣工资料未齐套即签署验收意见,验收把关不严,架空线路,输电,竣工验收,2025-04-07,输电建设部
接地网改造后隐蔽工程验收照片缺失仍予通过,验收把关不严,接地网,土建,隐蔽验收,2025-04-08,基建项目部
